Date,34.0225_-118.6775,34.0225_-118.6325,34.0225_-118.5875,34.0225_-118.5425,34.0225_-118.4975,34.0225_-118.4525,34.0225_-118.4075,34.0225_-118.3625,34.0225_-118.3175,34.0225_-118.2725,34.0225_-118.2275,34.0225_-118.1825,34.0225_-118.1375,34.0225_-118.0925,34.0225_-118.0475,34.0225_-118.0025,34.0675_-118.6775,34.0675_-118.6325,34.0675_-118.5875,34.0675_-118.5425,34.0675_-118.4975,34.0675_-118.4525,34.0675_-118.4075,34.0675_-118.3625,34.0675_-118.3175,34.0675_-118.2725,34.0675_-118.2275,34.0675_-118.1825,34.0675_-118.1375,34.0675_-118.0925,34.0675_-118.0475,34.0675_-118.0025,34.1125_-118.6775,34.1125_-118.6325,34.1125_-118.5875,34.1125_-118.5425,34.1125_-118.4975,34.1125_-118.4525,34.1125_-118.4075,34.1125_-118.3625,34.1125_-118.3175,34.1125_-118.2725,34.1125_-118.2275,34.1125_-118.1825,34.1125_-118.1375,34.1125_-118.0925,34.1125_-118.0475,34.1125_-118.0025,34.1575_-118.6775,34.1575_-118.6325,34.1575_-118.5875,34.1575_-118.5425,34.1575_-118.4975,34.1575_-118.4525,34.1575_-118.4075,34.1575_-118.3625,34.1575_-118.3175,34.1575_-118.2725,34.1575_-118.2275,34.1575_-118.1825,34.1575_-118.1375,34.1575_-118.0925,34.1575_-118.0475,34.1575_-118.0025,34.2025_-118.6775,34.2025_-118.6325,34.2025_-118.5875,34.2025_-118.5425,34.2025_-118.4975,34.2025_-118.4525,34.2025_-118.4075,34.2025_-118.3625,34.2025_-118.3175,34.2025_-118.2725,34.2025_-118.2275,34.2025_-118.1825,34.2025_-118.1375,34.2025_-118.0925,34.2025_-118.0475,34.2025_-118.0025,34.2475_-118.6775,34.2475_-118.6325,34.2475_-118.5875,34.2475_-118.5425,34.2475_-118.4975,34.2475_-118.4525,34.2475_-118.4075,34.2475_-118.3625,34.2475_-118.3175,34.2475_-118.2725,34.2475_-118.2275,34.2475_-118.1825,34.2475_-118.1375,34.2475_-118.0925,34.2475_-118.0475,34.2475_-118.0025,34.2925_-118.6325,34.2925_-118.5875,34.2925_-118.5425,34.2925_-118.4975,34.2925_-118.4525,34.2925_-118.4075,34.2925_-118.3625,34.2925_-118.3175,34.2925_-118.2725,34.2925_-118.2275,34.2925_-118.1825,34.2925_-118.1375,34.2925_-118.0925
2022-06-01,27.64021,26.794369,20.769764,12.107236,10.811441,10.40266,9.914662,12.200204,9.821996,13.538365,16.917948,27.569532,19.498367,21.015425,19.624426,17.260101,39.84496,34.338497,19.318537,15.71085,13.741891,14.211602,12.693823,15.037126,13.022301,15.290399,13.734094,15.872203,13.835213,13.64033,15.594235,15.951093,46.463005,46.01888,28.63654,14.980771,14.426679,12.527588,12.408105,16.007412,13.235261,14.197522,16.061493,18.83407,19.54932,16.817783,17.670898,17.334103,27.320284,21.488426,18.838627,18.063562,16.036512,15.8808975,17.881193,15.896527,15.60808,10.972137,14.230941,18.634214,21.217224,18.549763,18.931644,15.378653,29.768831,17.990108,18.885092,19.43924,19.30308,19.544992,20.533733,18.320341,19.478243,17.474787,19.520672,19.902004,24.58116,24.337322,25.488222,20.258595,12.518488,13.690899,19.997143,14.743927,14.512995,16.11609,18.164293,23.467909,23.93243,22.327137,26.751686,38.455246,41.56177,41.48415,36.658096,38.427456,14.061138,11.935041,12.107292,12.107292,13.262452,13.43423,19.009562,19.806723,16.659132,17.72939,38.434547,39.083702,44.56868
2022-07-01,32.462936,38.849407,31.916195,18.302614,9.417666,13.810879,14.221329,17.957535,19.31421,21.905643,20.864141,15.139641,15.772134,13.701502,13.256227,14.016411,35.31188,36.759834,24.436338,15.028954,12.396798,15.002865,16.053455,16.260185,16.248674,21.639935,18.113255,13.630843,12.488837,12.968451,13.35849,13.35849,39.878307,48.92815,25.19295,20.86223,18.70298,16.491217,14.276287,18.75796,18.944967,23.241714,17.655348,15.764891,14.065309,11.555517,10.125044,11.932108,32.072754,21.038536,17.589872,18.377008,15.495129,15.5198145,16.68177,19.038046,20.944054,18.529,18.182398,19.070257,16.462955,11.952817,16.188164,13.738254,25.272556,17.980545,17.205515,17.838142,20.244274,19.161003,17.61227,20.068327,22.67205,25.030296,25.161167,19.381775,16.218004,16.27978,15.533395,14.291067,21.330591,13.231582,19.610437,15.670988,14.979845,16.347404,14.9558115,21.88486,21.120564,14.744818,23.44608,26.574282,34.560352,43.142624,49.028263,51.956886,16.736217,15.442464,16.785362,17.855341,16.18214,16.051414,21.514587,25.405836,16.552942,21.170424,46.884216,45.074757,53.495907
2022-08-01,44.576923,41.28274,39.928703,14.849645,14.677465,19.29979,17.666206,18.77729,18.221365,19.264402,18.9134,13.005633,12.488837,13.579013,13.137113,13.8915615,42.379215,42.617825,24.757927,21.19743,17.729095,19.006893,17.078934,17.96809,17.074345,16.532057,16.75583,14.179416,13.257297,13.480583,14.082859,14.082859,48.874302,53.376408,32.62887,17.127077,16.680231,17.025711,16.871603,18.082138,18.396635,13.683083,13.625379,15.455973,18.140888,16.547716,17.991547,17.465454,40.613647,20.637104,20.05075,18.238192,13.825909,13.835053,14.89311,16.154701,17.988525,16.962069,14.515713,15.794335,21.412209,14.899818,15.597439,12.296781,33.36087,17.624441,18.518503,19.188221,21.457682,20.326033,20.2721,21.87224,25.46171,24.13096,23.618189,17.75884,25.364119,19.16721,20.88452,15.594225,25.250948,17.047823,22.295485,20.864681,20.864681,19.818687,18.195866,23.851494,28.606102,21.30473,37.088524,49.87621,64.54946,53.09196,52.88534,59.202892,20.081743,18.508047,16.238161,16.238161,14.667721,14.547105,21.715176,23.117855,22.689514,44.890274,62.632072,58.390778,52.55517
2022-09-01,35.57484,33.765034,28.165525,16.88993,12.387376,12.861731,11.605022,14.034504,16.526388,17.376709,18.430954,20.673027,14.573453,15.801281,16.659363,16.659363,37.09096,28.622099,15.2796955,10.707634,7.151866,10.058382,10.629269,7.317955,7.9109473,15.48935,15.914671,17.823515,12.210096,13.26974,14.0132265,14.0132265,39.281643,31.356955,17.886772,9.318739,7.203049,9.381755,9.8599205,8.798512,8.781775,14.289459,17.16515,16.724243,14.100626,13.344497,14.051183,12.973872,28.219425,13.555227,12.49246,11.951916,9.743326,10.624468,11.065806,14.332453,13.742176,13.002766,13.969103,16.355415,15.362826,14.699866,14.978231,13.449317,23.703627,13.234737,11.664331,12.123051,14.403254,14.251412,14.210723,18.2156,18.244265,18.365377,15.448859,17.716814,17.492168,11.765886,13.944233,13.944233,14.610455,12.788042,19.077929,13.572695,11.333771,8.410964,8.863854,15.416924,17.87577,11.869775,19.066175,23.977898,26.993156,18.808947,23.50817,24.462448,17.334837,15.167772,11.69326,14.13534,12.368217,11.749377,20.412949,20.412949,14.695817,22.060595,35.182045,31.36777,34.354935
2022-10-01,24.201448,31.368568,15.990971,8.933151,9.62005,21.541515,16.827587,15.8474045,17.635286,5.830379,8.605671,7.7991776,8.774455,9.633205,8.821263,15.850024,28.892311,36.282837,18.638788,18.64509,16.494339,17.89513,16.133358,15.18623,16.935127,16.75468,17.109627,15.316339,6.8302336,7.199964,8.534266,8.534266,31.169548,37.897007,20.392715,17.142942,18.362339,19.4971,15.212224,14.491047,14.398706,15.686994,14.728258,10.970405,6.9019003,6.23697,6.616481,5.557223,14.3881645,19.122602,16.860203,14.557828,15.628025,13.542992,10.255747,9.854098,10.97486,13.149834,13.967027,12.900433,12.487378,11.449576,14.719717,14.060179,10.259774,16.78324,12.647073,13.138691,14.854118,13.901408,9.782836,9.782836,10.863097,14.63359,13.121429,13.591875,13.750267,20.706072,20.510942,21.342062,8.141397,7.4148655,6.2144065,4.9995494,4.8689976,4.623316,6.901095,7.6319823,6.2832856,15.103693,13.627344,28.191587,24.36093,28.427258,16.870386,19.261711,6.435124,5.2665696,4.3242497,4.3100324,4.252065,5.064231,8.960497,6.953633,10.998588,12.014805,24.687853,15.725665,22.13397
2022-11-01,11.880978,13.325191,9.337432,7.314988,6.758205,7.0143433,6.9353213,9.490256,9.827604,9.873283,11.426072,11.021541,9.165689,10.475706,10.415507,10.752183,12.310855,25.298742,18.15946,9.180357,9.167969,9.285575,8.569992,8.086666,9.910302,11.699573,10.313352,10.464374,8.559581,7.529977,7.9814663,7.94923,11.418304,22.902164,16.99132,9.663032,7.552597,8.818836,8.063981,7.4245033,9.177548,10.936487,6.566117,6.918005,6.464781,6.8655825,7.2803736,6.717027,11.926071,11.1172905,8.740492,9.174705,6.7648726,6.5813994,6.4671254,6.883828,8.440175,7.686004,5.659617,6.0422072,6.070592,6.783189,7.0986023,5.898457,7.4863977,8.696194,8.458911,8.311027,6.6925726,7.9659133,8.013937,8.013937,7.0825896,5.799303,4.617833,4.693813,6.2215967,5.9264593,6.3883157,6.8541846,8.343895,8.038161,9.012059,9.077636,8.307821,11.5380945,9.455378,9.255009,6.7189574,4.791701,15.66751,12.337225,9.831934,11.615967,13.238703,13.188274,10.8193035,7.3312745,10.921043,10.759286,12.631138,8.660453,10.216393,12.524344,5.794889,11.017812,15.557056,12.38522,14.8573
2022-12-01,15.596101,22.57141,11.225886,9.111519,10.390411,5.48567,3.9036996,4.2331176,3.9654608,7.2386003,7.629246,9.881059,9.328039,9.006331,7.2342315,4.333321,18.326864,27.229557,17.935867,5.5420856,6.822826,8.560548,7.8266134,5.556688,5.0144095,6.204815,6.712054,5.6450834,6.3619146,5.9640336,4.730774,4.6606827,20.464983,20.24787,13.237021,6.8816967,6.822826,6.6392026,6.308856,4.5082755,5.280598,5.444943,5.2195506,5.015669,4.5135727,4.221242,3.9791696,3.919757,20.560669,13.5279875,6.343399,6.3991823,6.9471,6.48337,5.4342504,6.0472307,6.590422,6.313631,5.0188994,4.338818,4.215229,4.221242,6.165844,6.807827,14.537957,5.5503716,4.4283586,4.4283586,4.9908905,4.878194,4.7524295,5.265441,6.633051,5.6054635,4.5011196,4.942704,3.8660638,4.2665133,5.3291955,5.746798,9.0362,8.570472,6.345455,7.4434595,7.6451073,8.672921,6.2692585,4.9651628,6.5539026,7.581353,13.731795,16.05744,12.931904,14.077528,17.86419,18.17329,14.597026,8.133924,6.7308536,6.6265435,7.8190117,7.0583053,8.173314,13.422699,7.8448586,15.879118,22.296303,17.316584,16.214987
2023-01-01,11.551578,12.202262,8.754725,8.434984,8.847361,4.907058,5.5912147,6.385998,4.348148,4.452664,4.958438,5.3997884,5.701793,5.106769,5.444939,6.058499,6.8297396,6.9035435,6.709172,3.853409,3.5819747,5.6160293,5.472002,7.3948765,5.052457,4.9176497,4.9176497,6.5909753,5.604196,5.009264,4.3922095,4.3922095,5.5659456,6.708969,7.5921955,3.853409,3.810907,5.7022343,5.460767,5.6461234,4.3914165,4.564115,4.907494,5.78673,4.9140244,4.3930025,4.387132,4.387132,7.112319,6.428602,5.8099074,4.2118535,4.144846,6.1578608,6.1522903,6.692423,5.2180624,5.034412,5.034412,5.034412,5.034412,5.076816,4.5869536,4.7142777,5.919424,6.5735354,5.7361507,5.3226137,5.238901,6.325898,6.1522903,6.692423,4.5615544,4.399937,4.759248,4.759248,4.6793065,4.416489,4.079966,3.5531573,6.0744944,6.6116095,6.7509956,5.5589957,5.47178,6.603727,6.59778,7.4257283,5.9407606,5.9350505,4.220197,6.4413557,5.5916157,4.2103148,4.7942495,6.0096817,5.746301,5.885054,6.4841695,6.42821,6.419264,5.7472763,7.3543005,5.7439523,5.521045,5.5201674,5.526801,6.0520606,3.909732
2023-02-01,15.162605,12.934549,14.976374,5.9629335,5.2305155,10.281722,13.36759,13.590333,8.835704,8.236598,7.265357,5.130843,4.1046205,4.0523696,3.2334156,3.0568988,10.225528,9.268667,11.346897,6.502586,5.80222,6.436555,5.928834,8.699574,7.2957983,8.313779,6.004959,5.134538,5.447785,4.9349403,4.754575,3.7770615,11.884165,14.866863,8.139749,6.8668737,5.6217527,5.4937253,5.425002,7.2203016,6.4178762,7.3230395,6.6218963,4.8752127,4.507857,5.083334,4.447913,3.6910813,8.37589,5.7941103,5.8841,5.0461493,5.8052354,9.769831,8.495207,8.9202795,6.9119587,6.4019985,5.76518,5.6774487,6.090944,6.7408986,6.2690845,5.199835,9.527533,4.8223314,5.314753,7.3139324,7.2012835,9.177095,8.9327,9.462083,6.94954,5.881829,6.8826156,6.3255916,6.680295,5.5596676,5.125928,6.215898,6.2903776,5.762051,6.1792984,6.1579804,6.061971,6.677453,6.73602,6.0410056,3.814837,3.5786073,6.7495728,15.231463,10.247744,6.0865107,13.860629,19.882479,7.493883,6.476527,6.634592,6.380591,5.42522,7.7731175,5.995612,5.4996753,4.964851,10.462994,11.093267,11.512854,11.172764
2023-03-01,12.675886,13.331122,10.848527,6.5743966,5.582948,5.087799,6.6112504,6.8303995,5.5430717,5.5936446,5.0734615,5.883838,6.100018,7.6196275,6.4107046,7.8973284,17.949469,7.179222,4.880867,2.789977,3.1652265,5.8525004,6.432604,8.078029,7.038935,12.315886,8.357843,7.4937954,6.139169,7.654113,6.998356,6.409603,14.022231,6.5132337,4.880867,2.789977,2.7449424,4.927724,6.4195304,6.131166,6.0877657,8.321365,5.2317,5.830621,5.470132,7.383417,6.702059,5.528255,7.346987,7.3234386,7.743784,7.736808,5.4910274,5.566094,6.340133,6.742222,6.5057936,7.0553327,4.8259606,7.704716,6.413015,7.8068695,7.8068695,8.549463,5.6537194,8.482839,9.518615,11.498325,7.5911837,6.791752,6.7856493,7.7467732,6.846759,7.355776,5.090359,4.734154,5.860656,5.2801714,5.4575653,5.0883365,8.548067,9.279223,11.288691,11.168527,11.003557,11.055313,10.11019,11.33078,8.422342,4.511411,6.732739,5.3413687,3.615464,3.7391279,3.4419715,3.0259666,8.661231,9.257059,8.19141,8.988587,8.130346,10.109666,8.971088,9.897452,6.226395,4.9304852,4.532586,5.3026686,5.5244365
